asset_id,asset_type,material_type,age_years,crack_index,corrosion_level,vibration_rms,avg_daily_traffic,heavy_vehicle_pct,avg_temperature_f,humidity_pct,flood_risk_score,inspections_per_year,years_since_last_repair,strain_peak_microstrain,displacement_mm,failure_probability,failure_within_5yrs
A207900,Road,Composite,13.6,0.694,0.292,5.026,112.0,0.251,56.8,39.7,0.496,2.87,3.6,335.2,6.6,0.286,0
A207901,Building,Composite,47.0,0.658,0.619,0.489,20092.0,0.128,33.7,37.2,0.467,0.78,0.0,166.4,8.32,0.427,0
A207902,Bridge,Steel,27.8,0.463,0.221,,11610.0,0.418,79.1,,0.151,3.4,7.2,329.9,6.44,0.336,1
A207903,Building,Steel,58.8,0.639,0.7,4.363,27072.0,0.167,63.8,51.6,0.176,2.1,5.0,104.7,9.98,0.42,0
A207904,Power_System,Steel,41.1,0.865,0.0,0.932,37672.0,0.248,50.9,49.2,0.0,1.33,12.8,374.7,6.56,0.369,0
A207905,Building,Composite,33.8,0.919,0.048,4.521,34813.0,0.248,55.9,,0.115,,14.8,331.4,3.31,0.446,0
A207906,Building,Asphalt,13.9,0.63,,4.436,14425.0,0.245,50.0,96.0,0.0,0.9,15.3,218.3,0.05,0.408,0
A207907,Pipeline,Concrete,58.9,0.187,0.511,2.881,12984.0,0.103,50.4,49.5,0.018,2.79,7.7,300.2,6.21,0.29,0
A207908,Building,Asphalt,36.8,0.454,0.404,1.324,19461.0,0.11,43.3,37.0,0.171,3.39,6.8,217.0,2.77,0.297,0
A207909,Road,Composite,35.1,0.432,0.436,2.946,15045.0,0.254,52.7,79.1,0.594,1.06,5.8,232.8,2.61,0.637,0
A207910,Road,Steel,50.6,0.593,0.445,3.716,11142.0,0.151,77.1,66.4,0.901,,6.9,73.7,1.85,0.453,0
A207911,Building,Asphalt,41.8,0.299,0.386,2.528,24151.0,0.124,54.7,68.5,0.723,3.81,11.2,297.1,5.86,0.228,0
A207912,Road,Steel,35.3,0.718,0.399,,,0.16,50.7,29.2,0.696,2.43,8.5,389.4,6.55,0.535,0
A207913,Road,Concrete,37.7,0.276,0.976,0.456,24787.0,0.402,65.8,51.0,0.087,0.39,2.8,307.2,4.37,0.37,0
A207914,Road,Concrete,45.0,0.363,0.288,4.415,,0.189,72.8,64.4,0.298,2.39,6.3,174.4,10.3,0.384,0
A207915,Road,Concrete,46.9,0.636,0.0,2.916,24471.0,0.404,81.1,91.4,0.66,1.3,7.4,124.2,4.49,0.35,0
A207916,Road,Steel,13.5,0.54,0.526,,30734.0,0.262,74.6,56.6,0.231,0.1,15.8,180.6,7.31,0.308,0
A207917,Building,Concrete,50.3,0.667,0.611,4.556,34799.0,0.151,83.1,70.4,0.652,3.08,4.3,302.0,8.38,0.661,1
A207918,Building,Steel,6.1,0.0,0.621,4.118,32998.0,0.244,34.2,77.9,0.239,2.05,15.8,15.0,7.71,0.331,0
A207919,Building,Concrete,88.4,0.2593889278655221,0.53,0.05,8043.0,0.145,56.5,51.4,0.748,0.1,7.6,383.3,0.41200000000000003,0.352,0
A207920,Building,Concrete,23.5,0.508,0.405,3.066,33163.0,0.211,15.8,74.7,0.129,2.78,10.6,359.0,7.27,0.208,0
A207921,Road,Composite,51.4,0.155,0.41,2.286,6576.0,0.228,63.8,70.3,0.721,0.1,3.4,371.9,9.45,0.349,0
A207922,Road,Asphalt,28.2,0.494,0.651,,14802.0,0.201,61.6,65.6,0.566,2.45,5.0,352.7,8.09,0.35,1
A207923,Building,Steel,1.0,0.523,1.0,0.862,13496.0,0.066,58.3,69.7,0.437,1.57,10.6,97.1,0.721,0.538,0
A207924,Bridge,Composite,41.9,,0.354,1.304,28420.0,0.25,36.4,78.2,0.226,0.1,4.4,205.5,3.97,0.355,0
A207925,Building,Asphalt,19.4,0.228,0.802,2.869,14812.0,0.177,78.7,74.7,0.813,1.99,5.5,165.6,7.52,0.4,0
A207926,Pipeline,Asphalt,40.7,0.744,0.65,3.624,2769.0,0.31,77.9,63.0,0.589,1.61,11.1,226.0,5.62,0.614,0
A207927,Pipeline,Steel,47.6,0.904,0.476,3.797,12581.0,0.171,44.3,78.5,0.07,,0.0,212.2,2.51,0.489,0
A207928,Pipeline,Steel,60.0,0.754,0.413,0.775,17688.0,0.392,72.9,48.7,0.503,2.12,8.3,183.6,6.62,0.598,0
A207929,Pipeline,Steel,49.2,0.38,0.487,2.644,24371.0,0.183,64.9,44.9,0.933,0.67,2.6,171.5,10.48,0.324,0
A207930,Bridge,Concrete,49.7,0.48,0.354,4.467,27877.0,0.09,91.9,,0.683,0.72,0.4,298.3,2.95,0.512,0
A207931,Bridge,Steel,59.6,0.534,0.755,5.402,30019.0,0.18,34.3,68.4,0.306,1.84,6.0,138.3,9.92,0.471,0
A207932,Power_System,Composite,28.3,0.616,0.237,3.135,10322.0,0.327,67.7,78.3,0.258,0.1,8.1,34.1,8.36,0.231,0
A207933,Building,Steel,46.8,0.521,0.413,4.86,24129.0,0.061,76.9,84.2,0.274,2.24,9.1,171.7,3.98,0.45,0
A207934,Pipeline,Steel,41.7,0.198,0.318,6.164,37285.0,0.0,54.9,69.7,0.628,,8.9,156.1,2.89,0.405,0
A207935,Pipeline,Asphalt,60.4,,0.531,5.28,21590.0,0.153,46.2,55.0,0.498,2.41,5.5,274.6,10.59,0.405,0
A207936,Bridge,Steel,21.9,0.381,0.0,4.239,26588.0,0.173,49.5,83.7,0.726,1.64,3.0,218.0,8.51,0.336,0
A207937,Road,Steel,40.7,0.55,0.824,0.858,277.0,0.095,80.7,84.6,0.242,3.47,12.5,210.2,1.36,0.417,0
A207938,Pipeline,Concrete,25.1,0.481,0.7,0.282,13409.0,0.338,28.2,61.5,0.419,,0.9,310.7,2.38,0.356,0
A207939,Pipeline,Steel,62.1,0.688,0.295,,26040.0,0.272,52.4,71.3,0.322,0.1,0.3,258.1,3.07,0.482,0
A207940,Bridge,Concrete,33.3,0.224,0.654,2.784,28358.0,0.137,57.0,69.8,1.0,1.29,7.5,130.9,11.29,0.432,0
A207941,Bridge,Steel,59.3,0.343,0.612,2.928,32940.0,0.243,34.6,43.6,0.124,2.92,3.7,174.1,10.51,0.326,0
A207942,Power_System,Concrete,23.2,0.0,0.0,1.664,22235.0,0.19,79.3,94.3,0.313,2.64,12.4,326.5,2.09,0.269,0
A207943,Building,Asphalt,19.2,0.287,0.451,2.571,20719.0,0.142,65.2,68.3,0.354,1.36,10.7,,9.73,0.329,0
A207944,Bridge,Steel,45.7,0.546,,,40716.0,0.155,91.7,60.5,0.294,0.7,0.0,46.2,7.29,0.403,1
A207945,Building,Concrete,50.5,0.782,0.475,4.779,28813.0,0.374,51.7,80.7,0.407,0.1,7.7,198.2,0.05,0.566,0
A207946,Building,Steel,22.2,0.665,0.349,,7404.0,0.243,60.6,74.8,0.379,1.47,8.9,286.6,2.77,0.617,0
A207947,Bridge,Concrete,59.3,0.607,0.0,4.228,23778.0,0.283,33.3,95.8,0.161,1.52,0.8,231.9,9.19,0.359,1
A207948,Building,Asphalt,23.7,0.622,0.788,3.81,,0.328,48.5,74.9,0.567,1.12,7.7,138.6,7.39,0.486,0
A207949,Road,Steel,40.4,0.605,0.263,2.997,16486.0,0.181,54.8,59.0,0.282,,9.1,40.4,0.9730000000000001,0.252,1
A207950,Road,Concrete,19.8,0.551,,1.858,17005.0,0.285,57.1,,0.513,4.23,0.0,248.7,9.14,0.487,0
A207951,Bridge,Asphalt,8.9,0.547,0.458,3.138,27065.0,0.242,91.5,,0.734,1.27,10.1,297.0,9.14,0.53,0
A207952,Pipeline,Steel,25.4,0.277,0.505,2.768,35600.0,0.236,39.6,72.1,1.0,0.38,8.0,15.0,8.6,0.332,0
A207953,Pipeline,Concrete,51.1,0.408,,3.495,49267.0,0.099,45.3,79.9,0.064,0.74,13.2,291.4,13.16,0.331,0
A207954,Pipeline,Asphalt,42.0,0.421,0.374,2.578,,0.202,63.7,99.8,0.186,0.64,1.6,225.6,1.99,0.245,0
A207955,Bridge,Composite,17.6,0.573,0.428,4.345,11823.0,0.157,51.3,64.6,0.016,0.43,5.0,240.3,5.72,0.23,0
A207956,Building,Concrete,47.6,0.608,0.432,0.05,36072.0,0.211,28.6,99.5,0.478,2.24,3.7,266.1,6.18,0.192,0
A207957,Road,Concrete,30.5,0.585,0.0,3.911,29912.0,0.074,70.1,78.3,0.428,1.44,7.5,,2.09,0.355,0
A207958,Road,Concrete,33.5,0.87,0.101,4.095,6378.0,0.319,87.8,55.8,0.218,0.76,18.0,150.5,3.6,0.459,0
A207959,Pipeline,Concrete,64.6,0.837,0.343,2.249,5254.0,0.094,16.8,43.6,0.17,2.26,3.2,224.2,5.12,0.506,0
A207960,Bridge,Asphalt,27.2,0.727,0.232,2.885,,0.115,47.4,78.6,0.6,2.66,4.2,217.7,4.46,0.521,0
A207961,Power_System,Composite,52.1,0.421,0.071,3.342,30480.0,0.215,65.3,58.9,0.0,1.2,11.0,284.7,11.98,0.31,0
A207962,Pipeline,Concrete,16.1,0.629,0.58,3.467,28955.0,0.319,95.3,,0.477,,3.6,234.8,10.55,0.407,0
A207963,Building,Concrete,55.7,0.224,0.396,4.14,25630.0,0.234,62.8,76.9,0.224,0.8,6.3,141.8,6.67,0.341,0
A207964,Road,Asphalt,56.7,0.705,0.306,,24460.0,0.239,73.4,80.8,1.0,0.75,0.0,330.9,2.22,0.48,0
A207965,Road,Asphalt,17.6,0.822,0.509,0.05,20961.0,0.299,51.5,46.4,0.604,0.1,9.5,279.4,6.79,0.563,0
A207966,Road,Concrete,45.3,0.402,,2.745,27724.0,0.282,64.4,52.3,0.393,2.69,0.0,388.8,8.69,0.239,0
A207967,Road,Steel,49.2,,0.553,0.05,6433.0,0.124,63.1,55.4,0.0,2.88,7.6,,5.34,0.401,0
A207968,Road,Asphalt,12.2,0.325,,3.199,11945.0,0.15,78.6,79.4,0.474,2.32,11.7,169.9,5.69,0.251,0
A207969,Building,Composite,12.5,,0.421,0.625,9588.0,0.195,54.3,78.5,0.41,0.89,5.0,,4.48,0.254,0
A207970,Pipeline,Asphalt,31.3,0.582,0.343,3.289,1521.0,0.37,69.8,93.4,0.517,0.35,1.1,,11.2,0.329,0
A207971,Building,Concrete,31.5,0.819,0.543,0.61,12599.0,0.245,48.3,60.9,0.58,1.38,0.0,152.1,2.76,0.385,0
A207972,Bridge,Concrete,39.1,0.959,0.523,,8600.0,0.113,86.9,70.1,0.061,0.2,11.5,265.6,5.29,0.5,0
A207973,Road,Concrete,44.9,0.914,0.656,3.383,16321.0,0.177,84.2,91.6,0.556,,9.0,178.0,13.35,0.681,1
A207974,Bridge,Steel,54.5,0.623,0.423,,850.0,0.205,78.7,64.2,0.7,2.52,2.3,136.9,12.6,0.433,0
A207975,Power_System,Steel,30.7,0.179,0.415,4.643,19672.0,0.137,84.1,55.7,0.705,0.1,4.3,155.4,6.74,0.201,0
A207976,Bridge,Steel,34.8,0.426,0.383,2.472,17548.0,0.221,96.1,38.5,0.113,,13.5,308.4,5.22,0.268,0
A207977,Pipeline,Concrete,32.3,0.485,0.245,3.668,22940.0,0.217,35.1,73.7,0.312,0.65,17.5,194.3,9.03,0.287,0
A207978,Pipeline,Composite,85.1,0.6261946913663562,1.0,2.585,31858.0,0.227,37.5,87.2,0.433,2.05,0.0,127.0,11.79,0.578,0
A207979,Bridge,Asphalt,72.8,,0.01,3.758,23184.0,0.173,85.7,56.3,0.318,1.07,0.0,189.1,5.78,0.198,0
A207980,Power_System,Concrete,28.2,0.643,0.672,2.185,2222.0,0.25,29.4,100.0,0.904,2.43,3.2,239.4,8.72,0.44,0
A207981,Power_System,Concrete,29.9,0.527,0.145,5.758,0.0,0.108,51.4,49.1,0.973,4.38,7.6,154.6,5.4,0.459,0
A207982,Bridge,Steel,40.0,0.273,,4.989,14776.0,0.276,85.2,80.2,0.605,1.37,5.9,333.8,8.41,0.459,0
A207983,Bridge,Steel,48.7,,0.619,4.468064004078859,0.0,0.138,53.0,71.0,0.381,2.19,1.8,819.2377663548953,3.19,0.23,1
A207984,Pipeline,Steel,19.8,0.54,0.145,0.965,32820.0,0.311,65.7,91.5,0.0,1.53,12.4,142.3,2.77,0.33,0
A207985,Pipeline,Composite,47.5,0.223,0.709,2.639,7642.0,0.397,67.7,74.9,0.432,,3.6,358.2,6.07,0.301,1
A207986,Pipeline,Concrete,37.2,0.0,0.321,3.086,19799.0,0.365,40.8,53.1,0.277,2.2,5.5,201.2,7.66,0.352,0
A207987,Pipeline,Steel,71.3,0.4726656041516199,0.385,1.972,37543.0,0.204,71.8,81.4,0.321,1.84,10.4,187.6,2.92,0.456,0
A207988,Power_System,Asphalt,54.7,0.333,1.0,5.443,22924.0,0.0,64.4,42.2,0.0,1.11,8.0,377.7,6.08,0.323,0
A207989,Building,Steel,12.4,0.534,0.237,3.95,10780.0,0.238,61.4,,0.438,0.86,1.5,315.0,8.56,0.238,0
A207990,Road,Concrete,21.8,0.242,0.477,4.537,7368.0,0.351,56.1,,0.388,2.53,0.0,316.1,8.46,0.241,0
A207991,Building,Steel,43.4,0.721,0.523,2.786,,0.121,92.2,79.6,0.506,3.17,8.5,157.6,7.58,0.498,0
A207992,Road,Asphalt,21.5,0.247,0.0,2.972,13981.0,0.004,69.2,78.5,0.735,5.17,13.0,79.3,2.59,0.302,0
A207993,Power_System,Asphalt,11.0,0.0,0.668,1.723,19862.0,0.262,53.5,95.7,0.339,1.24,6.6,15.0,3.44,0.235,0
A207994,Road,Concrete,40.9,0.529,0.0,3.227,,0.362,40.6,37.2,0.382,0.1,0.0,152.2,4.8,0.267,0
A207995,Bridge,Steel,15.3,0.168,1.0,4.83,36849.0,0.211,71.8,82.2,0.408,0.87,2.4,299.1,12.09,0.379,0
A207996,Power_System,Concrete,36.0,0.489,0.944,3.834,30621.0,0.085,60.5,71.3,0.631,1.63,6.2,235.6,7.43,0.679,1
A207997,Road,Composite,36.9,0.713,0.092,2.746,25276.0,0.126,29.1,85.2,0.118,2.07,15.9,240.8,6.53,0.283,0
A207998,Building,Steel,58.7,0.0,0.713,4.597,6854.0,0.331,90.3,79.9,0.348,3.43,2.9,296.0,3.7,0.378,0
A207999,Pipeline,Asphalt,40.4,0.371,0.253,3.426,0.0,0.139,85.7,100.0,0.157,0.1,13.4,39.2,7.75,0.289,0
A208000,Building,Asphalt,86.4,0.37257883107295686,0.578,3.342,12324.0,0.332,14.2,60.3,0.72,0.94,14.8,94.0,3.21,0.49,0
A208001,Building,Concrete,57.6,0.665,0.149,4.375,,0.106,65.5,,0.411,2.77,0.0,247.1,13.47,0.346,0
A208002,Power_System,Concrete,52.1,0.631,0.315,,11257.0,0.263,35.7,40.7,0.611,0.67,7.6,196.5,4.0,0.365,0
A208003,Building,Composite,48.2,1.0,0.766,5.844,26609.0,0.259,62.5,68.1,0.67,1.86,9.3,275.9,6.3,0.778,1
A208004,Pipeline,Steel,42.5,0.653,0.484,1.873,7282.0,0.074,54.7,69.7,0.288,2.31,13.0,225.6,4.59,0.255,0
A208005,Road,Concrete,31.6,0.561,0.477,2.274,20435.0,0.329,52.3,60.9,0.084,0.88,2.7,308.0,8.25,0.3,0
A208006,Road,Asphalt,40.6,0.53,0.58,2.076,25971.0,0.106,57.7,82.1,0.477,2.74,0.3,176.8,0.33599999999999997,0.505,0
A208007,Road,Asphalt,51.1,0.54,0.841,5.359,31753.0,0.167,76.1,49.1,0.51,2.51,10.5,220.3,0.05,0.353,0
A208008,Road,Asphalt,15.7,0.943,,0.984,,0.219,62.2,93.4,0.842,0.62,7.6,101.7,2.37,0.428,1
A208009,Road,Asphalt,41.2,0.516,0.622,4.458,28749.0,0.347,29.7,57.0,0.246,1.03,13.7,243.2,5.48,0.532,1
A208010,Road,Steel,75.1,0.8470450675354358,0.0,2.07,47463.0,0.278,86.5,42.0,0.128,1.76,9.7,,6.14,0.41,0
A208011,Road,Asphalt,47.2,0.286,0.191,2.864,23135.0,0.257,61.4,71.1,0.468,0.39,7.9,200.5,3.88,0.244,0
A208012,Road,Composite,48.7,0.337,0.199,4.427,3696.0,0.218,44.6,46.2,0.707,0.45,6.1,,2.98,0.285,0
A208013,Road,Steel,29.9,0.125,0.623,1.31,28639.0,0.18,86.8,84.1,0.484,1.5,15.0,,11.41,0.395,0
A208014,Bridge,Composite,42.1,0.556,0.341,2.716,17850.0,0.126,91.2,46.4,0.785,0.54,4.0,210.9,7.55,0.407,0
A208015,Pipeline,Steel,15.8,0.558,0.443,4.486,5510.0,0.212,45.7,66.5,0.676,3.59,8.8,336.7,4.01,0.452,0
A208016,Bridge,Concrete,25.8,0.259,0.814,2.547,32904.0,0.291,102.9,82.5,0.501,3.18,13.4,201.1,5.99,0.628,0
A208017,Bridge,Steel,42.6,0.41,0.151,,13450.0,0.3,72.4,79.2,0.222,1.66,9.0,118.8,4.7,0.344,0
A208018,Bridge,Concrete,28.8,,0.635,4.51,15111.0,0.058,41.0,78.1,0.626,0.79,1.1,,6.45,0.508,0
A208019,Building,Asphalt,27.5,0.624,0.609,4.791,12394.0,0.144,64.9,48.7,0.295,2.2,10.2,255.4,6.66,0.382,0
A208020,Road,Composite,82.1,0.5664897704622078,0.217,2.483,0.0,0.206,52.5,100.0,0.465,2.19,12.7,76.1,0.5940000000000001,0.388,0
A208021,Bridge,Concrete,68.3,0.453,0.56,5.083,,0.482,108.7,87.6,0.596,0.75,13.3,217.1,9.26,0.534,0
A208022,Building,Concrete,59.9,0.455,0.744,3.525,29700.0,0.206,76.7,58.8,0.169,1.49,14.9,314.0,10.15,0.486,0
A208023,Road,Asphalt,14.0,0.466,0.8,0.833,22629.0,0.373,62.2,76.4,0.224,3.3,0.0,291.7,7.69,0.489,0
A208024,Building,Steel,40.5,0.682,0.522,3.31,,0.18,65.6,98.8,0.0,,7.3,72.3,0.05,0.347,0
A208025,Road,Concrete,15.5,0.652,0.188,3.622,33040.0,0.126,39.3,55.1,0.286,1.15,4.2,258.7,7.36,0.295,0
A208026,Road,Composite,35.0,0.464,0.41,3.287,9760.0,0.272,49.2,66.1,0.236,2.07,9.0,,10.12,0.295,1
A208027,Pipeline,Steel,45.6,0.306,0.387,2.522,,0.263,67.4,24.6,0.59,2.4,11.4,262.8,10.46,0.294,0
A208028,Bridge,Steel,37.8,0.737,0.572,5.076,6228.0,0.133,61.3,66.3,0.415,1.38,8.4,242.2,4.42,0.534,0
A208029,Power_System,Asphalt,45.0,0.681,0.635,2.858,18964.0,0.047,90.8,64.3,0.179,0.62,14.7,15.0,10.29,0.486,0
A208030,Bridge,Asphalt,48.3,0.92,0.968,4.577,7178.0,0.252,61.3,60.2,0.492,1.93,1.7,159.3,9.1,0.61,0
A208031,Power_System,Asphalt,20.8,0.649,0.684,,25714.0,0.123,105.3,,0.772,1.82,2.5,305.4,1.65,0.508,0
A208032,Pipeline,Steel,24.0,0.251,0.358,3.741,3592.0,0.192,53.9,72.9,0.692,2.37,4.7,,4.34,0.331,0
A208033,Building,Concrete,36.5,0.426,0.034,3.109,6972.0,0.124,46.5,,0.313,3.32,12.9,214.8,5.85,0.329,0
A208034,Bridge,Steel,41.9,0.33,0.271,1.913,15674.0,0.321,60.4,72.6,0.006,3.24,14.1,279.9,0.05,0.15,0
A208035,Building,Concrete,14.8,0.602,0.0,3.394,24312.0,0.159,52.0,55.3,0.268,2.68,6.7,231.9,2.32,0.332,0
A208036,Pipeline,Asphalt,1.0,0.346,0.331,2.329,,0.074,51.8,73.9,0.848,1.58,6.0,199.2,2.98,0.341,0
A208037,Road,Steel,29.8,0.13,0.681,4.408,31089.0,0.081,71.8,60.5,0.726,,6.6,,12.26,0.13,0
A208038,Bridge,Steel,30.1,0.0,0.127,1.56,28599.0,0.288,56.0,79.6,0.489,1.62,7.4,280.4,0.05,0.274,0
A208039,Bridge,Concrete,49.0,0.336,0.173,1.951,46398.0,0.108,46.7,66.0,0.701,1.63,3.1,212.6,2.6,0.333,0
A208040,Building,Composite,42.1,,0.241,3.103,31823.0,0.027,49.7,53.9,0.041,1.75,10.0,247.1,0.49,0.377,0
A208041,Power_System,Steel,20.5,0.691,0.0,5.348,10690.0,0.157,32.1,71.4,0.0,0.17,9.9,215.3,0.05,0.402,0
A208042,Road,Asphalt,48.2,0.484,0.0,3.21,20789.0,0.271,81.4,100.0,0.0,0.79,8.4,92.2,3.75,0.204,0
A208043,Building,Asphalt,74.9,,0.58,4.268,19064.0,0.22,89.3,54.1,0.737,0.47,5.0,226.9,5.27,0.507,0
A208044,Pipeline,Concrete,51.8,0.072,0.024,6.601,12026.0,0.26,76.5,73.4,0.099,2.31,8.5,233.3,6.29,0.159,0
A208045,Road,Steel,53.6,0.559,0.32,3.508,19110.0,0.151,36.3,,0.538,0.1,0.0,141.8,4.93,0.349,0
A208046,Road,Concrete,51.8,0.555,0.366,2.873,20463.0,0.193,49.6,89.0,0.346,3.08,2.0,147.6,14.29,0.348,1
A208047,Pipeline,Composite,26.1,0.0,0.762,3.266,10880.0,0.274,56.9,45.3,0.772,1.1,14.0,15.0,0.05,0.517,0
A208048,Road,Steel,40.3,0.435,0.189,5.313,32273.0,0.34,72.3,57.5,0.332,2.71,5.0,161.3,8.31,0.344,0
A208049,Building,Steel,48.8,,0.061,,27662.0,0.243,75.6,100.0,0.112,1.5,2.4,222.6,3.29,0.243,0
A208050,Road,Steel,52.9,0.243,0.443,3.465,14949.0,0.201,60.7,40.2,0.452,2.23,6.9,199.4,7.58,0.406,0
A208051,Pipeline,Concrete,68.0,0.689,0.494,1.766,15372.0,0.34,59.5,58.4,0.501,2.42,8.8,259.4,14.12,0.318,0
A208052,Bridge,Composite,51.6,0.506,0.775,4.828,19650.0,0.152,73.3,72.5,0.671,,8.8,370.7,0.05,0.314,0
A208053,Power_System,Steel,28.5,0.617,0.263,4.613,38581.0,0.137,56.5,24.2,0.035,0.1,0.0,134.4,4.71,0.294,0
A208054,Bridge,Steel,24.0,0.491,0.007,3.996,25787.0,0.142,52.7,97.0,0.0,3.82,0.0,170.1,1.72,0.258,0
A208055,Building,Steel,33.6,0.764,0.374,4.831,49285.0,0.274,49.7,80.0,0.49,1.97,3.4,,1.75,0.492,0
A208056,Pipeline,Steel,68.5,0.451,0.078,4.098,15938.0,0.272,80.9,64.8,0.0,2.84,12.5,259.5,2.54,0.296,0
A208057,Road,Concrete,28.2,0.733,0.513,,832.0,0.34,49.0,77.1,0.495,0.65,13.7,92.8,5.96,0.56,0
A208058,Power_System,Concrete,80.1,0.24521952201094047,0.325,0.792,18052.0,0.182,49.8,64.1,0.44,0.99,17.4,196.1,6.87,0.31,0
A208059,Bridge,Steel,22.0,0.809,0.661,24.11430104988289,51756.0,0.292,13.9,45.5,0.405,,16.2,652.6208455973905,3.31,0.603,0
A208060,Road,Steel,15.3,0.566,0.0,2.737,12191.0,0.147,53.4,81.5,0.867,,1.5,227.1,4.76,0.217,0
A208061,Road,Concrete,72.1,0.39807756785086323,1.0,6.771,26862.0,0.326,51.2,71.8,0.87,1.22,11.4,248.3,6.26,0.718,1
A208062,Pipeline,Concrete,11.1,0.633,0.333,2.58,17048.0,0.149,41.9,61.5,0.351,0.15,0.0,246.0,3.44,0.467,0
A208063,Pipeline,Composite,28.9,0.806,0.112,5.543,7160.0,0.074,69.7,70.0,0.0,0.57,13.3,352.2,15.62,0.355,0
A208064,Building,Steel,23.0,0.456,0.177,2.026,9303.0,0.204,71.3,73.6,0.251,4.36,11.4,228.6,9.16,0.298,0
A208065,Building,Asphalt,51.1,0.708,0.189,,32922.0,0.14,77.6,38.2,0.806,1.85,7.5,,12.51,0.458,0
A208066,Bridge,Asphalt,46.4,0.021,0.194,2.062,29641.0,0.169,43.2,83.3,1.0,2.52,17.4,277.5,8.14,0.44,0
A208067,Pipeline,Concrete,65.7,0.337,0.37,1.502,19609.0,0.111,83.8,60.9,0.37,2.95,6.7,281.3,6.93,0.443,0
A208068,Road,Steel,31.0,0.719,0.396,5.168,11406.0,0.045,33.5,58.7,0.0,1.89,0.0,143.0,7.49,0.365,0
A208069,Pipeline,Concrete,40.1,0.223,0.366,4.293,,0.328,46.2,81.4,1.0,0.5,4.0,364.4,0.675,0.347,0
A208070,Pipeline,Steel,45.4,0.79,0.064,2.321,25408.0,0.207,76.8,85.0,0.0,0.48,3.6,304.9,9.05,0.375,1
A208071,Road,Composite,18.7,0.152,0.151,1.289,31177.0,0.217,92.1,64.9,0.236,3.18,0.9,392.7,2.52,0.033,0
A208072,Bridge,Steel,31.8,0.807,0.586,4.991,21557.0,0.215,56.3,56.0,0.613,2.17,7.2,133.5,5.1,0.47,0
A208073,Road,Concrete,16.9,0.505,0.575,4.4,24099.0,0.198,41.7,67.9,0.633,2.34,8.3,303.4,5.17,0.713,1
A208074,Road,Concrete,8.7,0.733,0.636,2.423,31090.0,0.289,52.4,92.9,0.19,2.29,11.3,269.0,1.46,0.4,0
A208075,Road,Asphalt,62.6,0.474,0.712,3.031,33118.0,0.284,68.9,63.1,0.0,0.38,9.9,229.8,11.96,0.443,0
A208076,Road,Concrete,38.0,0.561,0.145,3.381,17085.0,0.172,66.0,95.5,0.002,,9.4,403.9,5.19,0.286,0
A208077,Pipeline,Concrete,23.7,0.559,0.676,0.05,22721.0,0.131,101.2,,0.842,1.48,5.2,264.5,9.37,0.561,0
A208078,Road,Asphalt,45.4,0.817,0.52,1.35,10696.0,0.256,41.1,99.5,0.785,1.8,6.4,37.1,1.55,0.486,0
A208079,Building,Concrete,6.5,0.531,0.0,5.28,6432.0,0.167,81.1,44.2,0.277,1.03,0.4,367.4,1.62,0.312,0
A208080,Road,Steel,49.2,0.913,1.0,,20225.0,0.125,88.1,42.4,0.04,0.47,2.8,187.8,8.12,0.55,0
A208081,Road,Composite,40.6,0.706,0.254,2.415,3464.0,0.21,54.5,71.0,0.188,,11.3,70.3,4.36,0.282,0
A208082,Road,Concrete,36.3,0.607,0.362,3.108,10812.0,0.253,57.3,88.2,0.539,0.88,7.6,346.1,5.26,0.505,0
A208083,Power_System,Concrete,31.2,0.396,0.474,3.425,33313.0,0.253,50.0,81.2,0.591,2.2,12.1,86.7,4.53,0.32,0
A208084,Pipeline,Concrete,30.6,0.563,,4.329,10506.0,0.202,49.0,44.8,0.515,0.32,0.0,334.5,4.61,0.343,0
A208085,Power_System,Steel,42.0,0.391,0.884,1.698,2657.0,0.093,55.0,51.2,0.199,1.2,0.0,247.3,6.73,0.429,0
A208086,Bridge,Concrete,49.0,0.728,0.638,4.171,11002.0,0.288,55.0,49.3,0.349,0.1,2.8,258.7,6.9,0.562,0
A208087,Power_System,Composite,56.5,0.289,0.261,6.633,21153.0,0.285,48.1,50.8,0.216,0.25,15.6,256.6,7.73,0.181,0
A208088,Bridge,Concrete,47.4,1.0,0.218,2.114,21232.0,0.404,82.6,78.9,0.345,1.57,2.1,290.3,4.47,0.361,0
A208089,Building,Concrete,53.8,1.0,,4.881890026029853,19364.0,0.234,77.5,81.5,0.267,3.3,1.9,,1.25,0.647,0
A208090,Bridge,Composite,68.2,0.104,0.171,4.248,23924.0,0.279,84.8,51.8,0.075,3.58,9.0,109.7,7.02,0.148,0
A208091,Building,Steel,79.5,0.47269690302767486,0.131,3.532,21547.0,0.107,25.7,65.6,0.61,1.21,4.0,209.4,5.42,0.327,0
A208092,Pipeline,Asphalt,27.0,0.512,0.379,4.796,18173.0,0.28,52.1,83.0,0.725,3.62,0.0,180.8,8.29,0.484,0
A208093,Pipeline,Steel,58.5,0.172,0.697,2.217,48844.0,0.298,86.1,,0.358,2.61,0.0,105.7,3.69,0.563,0
A208094,Road,Asphalt,81.0,0.5756704103759147,0.779,3.95,35062.0,0.413,57.8,92.2,0.652,2.15,2.4,129.3,6.45,0.625,0
